============================================================
KEY 0x0000000267774671
  hit=7ff619c7f008 pointer_at=7ff619c7f000 target=7ff618aac0c0 function=FUN_7ff618aac0c0@7ff618aac0c0
FUNCTION FUN_7ff618ae0500@7ff618ae0500 size=782

/* WARNING: Function: __security_check_cookie replaced with injection: security_check_cookie */

undefined8 FUN_7ff618ae0500(uint *param_1,undefined8 param_2,undefined4 *param_3)

{
  undefined4 uVar1;
  undefined8 uVar2;
  uint *puVar3;
  longlong lVar4;
  longlong lVar5;
  undefined8 *puVar6;
  uint uVar7;
  ulonglong uVar8;
  ulonglong uVar9;
  uint uVar10;
  longlong lVar11;
  longlong lVar12;
  undefined1 auStack_108 [32];
  uint uStack_e8;
  undefined4 uStack_e4;
  longlong lStack_e0;
  undefined4 uStack_d8;
  uint uStack_d0;
  undefined4 uStack_cc;
  longlong lStack_c8;
  undefined8 uStack_b8;
  longlong lStack_b0;
  uint uStack_a8;
  undefined4 uStack_a4;
  longlong lStack_a0;
  uint uStack_80;
  undefined4 uStack_7c;
  longlong lStack_78;
  undefined1 auStack_70 [32];
  ulonglong uStack_50;
  
  uStack_50 = DAT_7ff61a119a88 ^ (ulonglong)auStack_108;
  lStack_b0 = *(longlong *)(param_3 + 2);
  uStack_b8 = CONCAT44(uStack_b8._4_4_,*param_3);
  puVar3 = (uint *)FUN_7ff618516340(&uStack_b8,*(undefined4 *)PTR_DAT_7ff61a010800);
  uVar10 = (int)*param_1 >> 0xd;
  uVar9 = 0;
  lVar5 = *DAT_7ff61a4a9c70;
  lVar11 = (((ulonglong)uVar10 | 0xffc0000) >> 0x12 & (ulonglong)(uVar10 & 0xffff)) * 0x40;
  lVar4 = (ulonglong)((*param_1 & 0x1fff) * *(int *)(lVar11 + 0x30 + lVar5)) +
          *(longlong *)(lVar11 + 8 + lVar5);
  uStack_a8 = *puVar3;
  lVar4 = (*(longlong *)(param_1 + 2) -
          ((longlong)*(int *)(lVar11 + 0x34 + lVar5) & *(ulonglong *)(lVar4 + 8))) + lVar4;
  uVar10 = (((uint)((int)uStack_a8 >> 0xd) >> 0x12 | 0x3ff) & (int)uStack_a8 >> 0xd & 0xffffU) << 6;
  lVar11 = (ulonglong)((uStack_a8 & 0x1fff) * *(int *)((ulonglong)uVar10 + 0x30 + lVar5)) +
           *(longlong *)((ulonglong)uVar10 + 8 + lVar5);
  uStack_a4 = *(undefined4 *)PTR_DAT_7ff61a011090;
  lStack_a0 = (((longlong)*(int *)((ulonglong)uVar10 + 0x34 + lVar5) & *(ulonglong *)(lVar11 + 8)) -
              lVar11) + (longlong)param_1;
  uVar8 = uVar9;
  if (0 < (int)param_1[0x50]) {
    do {
      lVar5 = (longlong)(int)uVar8;
      uVar10 = (int)uVar8 + 1;
      uVar8 = (ulonglong)uVar10;
      (param_1 + lVar5 * 8 + 0x52)[0] = 0xffffffff;
      (param_1 + lVar5 * 8 + 0x52)[1] = 0xffffffff;
      (param_1 + lVar5 * 8 + 0x56)[0] = 0xffffffff;
      (param_1 + lVar5 * 8 + 0x56)[1] = 0xffffffff;
      (param_1 + lVar5 * 8 + 0x58)[0] = 0;
      (param_1 + lVar5 * 8 + 0x58)[1] = 0;
    } while ((int)uVar10 < (int)param_1[0x50]);
  }
  FUN_7ff61853e300(auStack_70,1);
  uVar10 = *param_1;
  uVar7 = (int)uVar10 >> 0xd;
  lVar5 = *DAT_7ff61a4a9c70;
  lVar12 = (((ulonglong)uVar7 | 0xffc0000) >> 0x12 & (ulonglong)(uVar7 & 0xffff)) * 0x40;
  _uStack_e8 = CONCAT44(*(undefined4 *)PTR_DAT_7ff61a00ffc0,uVar10);
  uVar2 = _uStack_e8;
  lVar11 = (ulonglong)((uVar10 & 0x1fff) * *(int *)(lVar12 + 0x30 + lVar5)) +
           *(longlong *)(lVar12 + 8 + lVar5);
  uVar1 = *(undefined4 *)(lVar4 + 0x58);
  lVar12 = (((longlong)*(int *)(lVar12 + 0x34 + lVar5) & *(ulonglong *)(lVar11 + 8)) - lVar11) +
           lVar4 + 0x50;
  uVar8 = (ulonglong)(((uVar7 >> 0x12 | 0x3ff) & uVar7 & 0xffff) << 6);
  lVar11 = (ulonglong)((uVar10 & 0x1fff) * *(int *)(uVar8 + 0x30 + lVar5)) +
           *(longlong *)(uVar8 + 8 + lVar5);
  uStack_d0 = *puVar3;
  uStack_cc = *(undefined4 *)
               ((*(longlong *)(param_1 + 2) -
                ((longlong)*(int *)(uVar8 + 0x34 + lVar5) & *(ulonglong *)(lVar11 + 8))) + 4 +
               lVar11);
  uVar8 = (ulonglong)
          ((((uint)((int)uStack_d0 >> 0xd) >> 0x12 | 0x3ff) & (int)uStack_d0 >> 0xd & 0xffffU) << 6)
  ;
  lVar11 = (ulonglong)((uStack_d0 & 0x1fff) * *(int *)(uVar8 + 0x30 + lVar5)) +
           *(longlong *)(uVar8 + 8 + lVar5);
  lVar5 = (((longlong)*(int *)(uVar8 + 0x34 + lVar5) & *(ulonglong *)(lVar11 + 8)) - lVar11) +
          (longlong)param_1;
  lStack_e0 = lVar12;
  uStack_d8 = uVar1;
  lStack_c8 = lVar5;
  lStack_78 = lVar5;
  uStack_80 = uStack_d0;
  uStack_7c = uStack_cc;
  puVar6 = (undefined8 *)FUN_7ff61853ef90();
  uStack_d0 = uStack_80;
  uStack_cc = uStack_7c;
  _uStack_e8 = uVar2;
  lStack_e0 = lVar12;
  uStack_d8 = uVar1;
  lStack_c8 = lVar5;
  (**(code **)*puVar6)(puVar6,&uStack_e8);
  lVar5 = lStack_a0;
  if (0 < *(longlong *)(lVar4 + 0x38)) {
    uVar2 = CONCAT44(uStack_a4,uStack_a8);
    uVar8 = uVar9;
    do {
      lStack_b0 = lVar5;
      uStack_b8 = uVar2;
      FUN_7ff618557750(param_1,*(undefined2 *)
                                (uVar9 * 0x120 + 0x62 + *(longlong *)(lVar4 + 0x40) + lVar4),
                       &uStack_b8);
      uVar10 = (int)uVar8 + 1;
      uVar8 = (ulonglong)uVar10;
      uVar9 = (ulonglong)(int)uVar10;
    } while ((longlong)uVar9 < *(longlong *)(lVar4 + 0x38));
  }
  FUN_7ff61853e350(auStack_70);
  return 1;
}


============================================================
FUNCTION FUN_7ff618571b20@7ff618571b20 size=42

undefined1 FUN_7ff618571b20(longlong param_1)

{
  FUN_7ff61856f830(param_1 + 0x180);
  *(undefined1 *)(param_1 + 0x183) = 0xff;
  FUN_7ff618539200(param_1 + 0x188);
  return 1;
}


============================================================
FUNCTION FUN_7ff618ae7690@7ff618ae7690 size=46

undefined1 FUN_7ff618ae7690(longlong param_1)

{
  FUN_7ff618552950(param_1 + 0x180);
  *(undefined4 *)(param_1 + 0x188) = 0;
  *(undefined1 *)(param_1 + 0x18c) = 0;
  return 1;
}


============================================================
FUNCTION FUN_7ff6184b1280@7ff6184b1280 size=348

/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */

bool FUN_7ff6184b1280(longlong param_1,undefined4 *param_2,undefined4 *param_3)

{
  uint uVar1;
  undefined2 uVar2;
  undefined4 uVar3;
  int iVar4;
  longlong lVar5;
  longlong lVar6;
  longlong lVar7;
  float fVar8;
  float fVar9;
  float fVar10;
  float fVar11;
  undefined1 auVar12 [16];
  undefined1 auVar13 [16];
  undefined1 auVar14 [16];
  undefined1 auStackX_8 [8];
  undefined4 auStack_28 [2];
  undefined8 uStack_20;
  undefined4 auStack_18 [2];
  undefined8 uStack_10;
  
  auStack_28[0] = *param_2;
  uStack_20 = *(undefined8 *)(param_2 + 2);
  lVar5 = FUN_7ff618516340(auStack_28,*(undefined4 *)PTR_DAT_7ff61a015f50);
  uStack_10 = *(undefined8 *)(param_3 + 2);
  auStack_18[0] = *param_3;
  lVar6 = FUN_7ff618516340(auStack_18,*(undefined4 *)PTR_DAT_7ff61a011020);
  FUN_7ff6184d9180(auStackX_8);
  *(undefined8 *)(param_1 + 0x30) = 0;
  uVar2 = FUN_7ff6184cf5a0(*(undefined4 *)(param_1 + 0x24),*(undefined4 *)(lVar5 + 0x10),1);
  *(undefined2 *)(param_1 + 0x44) = uVar2;
  uVar1 = *(uint *)(lVar5 + 0x10);
  *(uint *)(param_1 + 0x40) = uVar1;
  lVar7 = (ulonglong)
          ((((uint)((int)uVar1 >> 0xd) >> 0x12 | 0x3ff) & (int)uVar1 >> 0xd & 0xffffU) << 6) +
          *DAT_7ff61a4a9c70;
  lVar5 = (ulonglong)((uVar1 & 0x1fff) * *(int *)(lVar7 + 0x30)) + *(longlong *)(lVar7 + 8);
  uVar3 = FUN_7ff6184af410(lVar5 - ((longlong)*(int *)(lVar7 + 0x34) & *(ulonglong *)(lVar5 + 8)),0)
  ;
  fVar11 = *(float *)(lVar6 + 0x2c);
  fVar8 = (float)(~-(uint)(fVar11 == 1.0) & (uint)(fVar11 - 1.0));
  fVar9 = (float)(~-(uint)(fVar11 == 1.0) & (uint)(fVar11 - 1.0));
  fVar10 = (float)(~-(uint)(fVar11 == 1.0) & (uint)(fVar11 - 1.0));
  fVar11 = (float)(~-(uint)(fVar11 == 1.0) & (uint)(fVar11 - 1.0));
  auVar12._0_4_ = 0.0 - fVar8;
  auVar12._4_4_ = 0.0 - fVar9;
  auVar12._8_4_ = 0.0 - fVar10;
  auVar12._12_4_ = 0.0 - fVar11;
  auVar13._4_4_ = fVar9;
  auVar13._0_4_ = fVar8;
  auVar13._8_4_ = fVar10;
  auVar13._12_4_ = fVar11;
  auVar13 = maxps(auVar12,auVar13);
  auVar14._4_4_ = -(uint)(auVar13._4_4_ <= fRam00007ff61a6eac54);
  auVar14._0_4_ = -(uint)(auVar13._0_4_ <= _DAT_7ff61a6eac50);
  auVar14._8_4_ = -(uint)(auVar13._8_4_ <= fRam00007ff61a6eac58);
  auVar14._12_4_ = -(uint)(auVar13._12_4_ <= fRam00007ff61a6eac5c);
  iVar4 = movmskps(uVar3,auVar14);
  if (iVar4 == 0xf) {
    FUN_7ff6184aead0(param_1,lVar6 + 0x10,1);
  }
  FUN_7ff6184d92d0(auStackX_8);
  return iVar4 == 0xf;
}


============================================================
FUNCTION FUN_7ff618a61070@7ff618a61070 size=59

undefined8 FUN_7ff618a61070(longlong param_1)

{
  FUN_7ff618552950(param_1 + 0x180);
  FUN_7ff618552950(param_1 + 0x188);
  *(undefined8 *)(param_1 + 400) = 0;
  return 1;
}


============================================================
FUNCTION FUN_7ff6185d35f0@7ff6185d35f0 size=225

undefined8 FUN_7ff6185d35f0(longlong param_1,undefined8 param_2,undefined4 *param_3)

{
  undefined8 *puVar1;
  int *piVar2;
  undefined4 *puVar3;
  longlong lVar4;
  int iVar5;
  undefined1 uVar6;
  undefined1 auStackX_8 [8];
  undefined4 auStack_18 [2];
  undefined8 uStack_10;
  
  uVar6 = 0;
  *(undefined8 *)(param_1 + 0x30) = 0;
  puVar1 = (undefined8 *)FUN_7ff6183cf320(auStackX_8);
  *(undefined8 *)(param_1 + 0x40) = *puVar1;
  puVar1 = (undefined8 *)FUN_7ff6185fc5a0(auStackX_8);
  *(undefined8 *)(param_1 + 0x38) = *puVar1;
  *(undefined4 *)(param_1 + 0x48) = 0;
  *(undefined4 *)(param_1 + 0x4c) = 0xffffffff;
  *(undefined1 *)(param_1 + 0x53) = 0;
  piVar2 = (int *)FUN_7ff61851b120();
  iVar5 = *piVar2 * 0x19660d + 0x3c6ef35f;
  *piVar2 = iVar5;
  *(short *)(param_1 + 0x50) = (short)((uint)iVar5 >> 0x10);
  auStack_18[0] = *param_3;
  uStack_10 = *(undefined8 *)(param_3 + 2);
  puVar3 = (undefined4 *)FUN_7ff618516340(auStack_18,*(undefined4 *)PTR_DAT_7ff61a011020);
  lVar4 = FUN_7ff6192c8970(*puVar3);
  if ((((*(char *)(puVar3 + 0x14) == '\0') && (puVar3[0xc] == -1)) &&
      ((*(byte *)(puVar3 + 0x1a) & 0x40) == 0)) &&
     (((*(byte *)(puVar3 + 0x1a) & 4) == 0 ||
      (uVar6 = 0, (PTR_PTR_7ff61a7b48c0[(longlong)*(char *)(lVar4 + 0x96) * 0x20 + 8] & 1) != 0))))
  {
    uVar6 = 1;
  }
  *(undefined1 *)(param_1 + 0x52) = uVar6;
  return 1;
}


============================================================
FUNCTION FUN_7ff618ae7660@7ff618ae7660 size=40

undefined1 FUN_7ff618ae7660(longlong param_1)

{
  FUN_7ff618539200(param_1 + 0x180);
  *(undefined1 *)(param_1 + 0x1b8) = 0;
  *(undefined4 *)(param_1 + 0x1bc) = 0;
  return 1;
}


============================================================
FUNCTION FUN_7ff618b2bec0@7ff618b2bec0 size=54

undefined1 FUN_7ff618b2bec0(longlong param_1)

{
  FUN_7ff618b2ba70((undefined2 *)(param_1 + 0x180));
  *(undefined2 *)(param_1 + 0x180) = 0xffff;
  *(undefined1 *)(param_1 + 0x182) = 1;
  *(undefined4 *)(param_1 + 0x184) = 0xffffffff;
  FUN_7ff618439f40(param_1 + 400);
  return 1;
}


============================================================
FUNCTION FUN_7ff6184cad90@7ff6184cad90 size=350

/* WARNING: Function: __security_check_cookie replaced with injection: security_check_cookie */
/* WARNING: Globals starting with '_' overlap smaller symbols at the same address */

undefined8 FUN_7ff6184cad90(uint *param_1,int *param_2,undefined4 *param_3)

{
  undefined8 *puVar1;
  bool bVar2;
  bool bVar3;
  bool bVar4;
  bool bVar5;
  bool bVar6;
  bool bVar7;
  bool bVar8;
  bool bVar9;
  undefined1 auVar10 [16];
  double dVar11;
  undefined2 uVar12;
  uint uVar13;
  int iVar14;
  longlong lVar15;
  longlong lVar16;
  undefined4 *puVar17;
  undefined8 uVar18;
  uint uVar19;
  longlong lVar20;
  ulonglong uVar21;
  longlong lVar22;
  float fVar23;
  float fVar24;
  float fVar25;
  float fVar26;
  float fVar27;
  float fVar28;
  undefined1 auVar29 [16];
  undefined1 auVar30 [16];
  undefined1 auVar31 [16];
  undefined1 auVar32 [16];
  undefined1 auStack_a8 [32];
  undefined8 uStack_88;
  undefined8 uStack_80;
  undefined1 auStack_78 [8];
  int aiStack_70 [2];
  undefined8 uStack_68;
  undefined4 uStack_58;
  undefined4 uStack_54;
  undefined4 uStack_50;
  undefined4 uStack_4c;
  ulonglong uStack_38;
  
  uStack_38 = DAT_7ff61a119a88 ^ (ulonglong)auStack_a8;
  if (*param_2 == 0) {
    lVar15 = 0;
  }
  else {
    uStack_68 = *(undefined8 *)(param_2 + 2);
    aiStack_70[0] = *param_2;
    lVar15 = FUN_7ff618516340(aiStack_70,*(undefined4 *)PTR_DAT_7ff61a0160a0);
  }
  uStack_80 = *(undefined8 *)(param_3 + 2);
  uStack_88 = CONCAT44(uStack_88._4_4_,*param_3);
  lVar16 = FUN_7ff618516340(&uStack_88,*(undefined4 *)PTR_DAT_7ff61a011020);
  lVar20 = *(longlong *)(param_1 + 2);
  uVar13 = param_1[9];
  uVar19 = (int)*param_1 >> 0xd;
  lVar22 = (((ulonglong)uVar19 | 0xffc0000) >> 0x12 & (ulonglong)(uVar19 & 0xffff)) * 0x40 +
           *DAT_7ff61a4a9c70;
  iVar14 = *(int *)(lVar22 + 0x34);
  lVar22 = (ulonglong)((*param_1 & 0x1fff) * *(int *)(lVar22 + 0x30)) + *(longlong *)(lVar22 + 8);
  uVar21 = *(ulonglong *)(lVar22 + 8);
  param_1[0x88] = 0xffffffff;
  param_1[0x89] = 0xffffffff;
  puVar17 = (undefined4 *)FUN_7ff618a5b640(param_1,auStack_78);
  uVar12 = FUN_7ff6184cf5a0(uVar13,*puVar17,0);
  *(undefined2 *)(param_1 + 0x91) = uVar12;
  *(undefined1 *)((longlong)param_1 + 0x23a) = 1;
  uVar13 = *(uint *)((lVar22 - ((longlong)iVar14 & uVar21)) + 0x380 + lVar20);
  uVar19 = (int)uVar13 >> 0xd;
  lVar22 = (ulonglong)(((uVar19 >> 0x12 | 0x3ff) & uVar19 & 0xffff) << 6) + *DAT_7ff61a4a9c70;
  lVar20 = (ulonglong)((uVar13 & 0x1fff) * *(int *)(lVar22 + 0x30)) + *(longlong *)(lVar22 + 8);
  uVar18 = FUN_7ff6184d9af0(lVar20 - ((longlong)*(int *)(lVar22 + 0x34) & *(ulonglong *)(lVar20 + 8)
                                     ));
  *(undefined8 *)(param_1 + 0x8c) = uVar18;
  if ((*(int *)(lVar16 + 0x30) == -1) || (uVar13 = FUN_7ff6184d4ee0(), uVar13 == 0xffffffff)) {
    uVar13 = (uint)(ushort)param_1[0x91];
  }
  param_1[0x82] = uVar13;
  param_1[0x81] = 0xffffffff;
  param_1[0x8a] = *(uint *)(lVar16 + 0x60);
  *(byte *)(param_1 + 0x8e) = (byte)param_1[0x8e] | 1;
  if (*(char *)(lVar16 + 0x50) == '\0') {
    *(byte *)(param_1 + 0x8e) = (byte)param_1[0x8e] & 0xfd;
  }
  else {
    *(byte *)(param_1 + 0x8e) = (byte)param_1[0x8e] | 2;
  }
  param_1[0x84] = 0x3f800000;
  lVar20 = FUN_7ff6184d25f0();
  uVar13 = *(uint *)(lVar20 + 0xc);
  param_1[0x83] = uVar13;
  param_1[0x94] = 0xffffffff;
  param_1[0x95] = 0xffffffff;
  param_1[0x96] = 0;
  param_1[0x97] = 0;
  *(undefined1 *)((longlong)param_1 + 0x23f) = 0xff;
  if (*(int *)(lVar16 + 0x30) == -1) {
    fVar23 = *(float *)(lVar16 + 0x2c);
    fVar24 = DAT_7ff619c12b80;
    if (DAT_7ff619c12b7c <=
        (float)(double)CONCAT44((uint)((ulonglong)(double)(fVar23 - DAT_7ff619c12b80) >> 0x20) &
                                DAT_7ff619c3ca60._4_4_,
                                SUB84((double)(fVar23 - DAT_7ff619c12b80),0) &
                                (uint)DAT_7ff619c3ca60)) goto LAB_7ff6184cb062;
  }
  else {
    uVar21 = (ulonglong)((*(ushort *)(lVar16 + 0x30) & 0x1fff) * DAT_7ff61a003430);
    puVar17 = (undefined4 *)(uVar21 + 0xc0 + DAT_7ff61a003428);
    uStack_58 = *puVar17;
    uStack_54 = puVar17[1];
    uStack_50 = puVar17[2];
    uStack_4c = puVar17[3];
    puVar1 = (undefined8 *)(uVar21 + 0xd0 + DAT_7ff61a003428);
    uStack_88 = *puVar1;
    uStack_80 = puVar1[1];
    FUN_7ff61e2d0781();
    uVar13 = FUN_7ff61d8bdff2();
    dVar11 = (double)((float)(uStack_80._4_4_ ^ uVar13) - DAT_7ff619c12b80);
    fVar23 = DAT_7ff619c12b80;
    fVar24 = (float)(uStack_80._4_4_ ^ uVar13);
    if ((float)(double)CONCAT44((uint)((ulonglong)dVar11 >> 0x20) & DAT_7ff619c3ca60._4_4_,
                                SUB84(dVar11,0) & (uint)DAT_7ff619c3ca60) < DAT_7ff619c12b7c)
    goto LAB_7ff6184cb062;
  }
  fVar23 = fVar24;
LAB_7ff6184cb062:
  param_1[0x85] = (uint)fVar23;
  if (lVar15 != 0) {
    if (*(char *)(lVar15 + 0x11) == '\0') {
      *(byte *)(param_1 + 0x8e) = (byte)param_1[0x8e] & 0xef;
    }
    else {
      *(byte *)(param_1 + 0x8e) = (byte)param_1[0x8e] | 0x10;
    }
    if (*(char *)(lVar15 + 0x12) == '\0') {
      *(byte *)(param_1 + 0x8e) = (byte)param_1[0x8e] & 0xf7;
    }
    else {
      *(byte *)(param_1 + 0x8e) = (byte)param_1[0x8e] | 8;
    }
    uVar18 = *(undefined8 *)(lVar15 + 0x28);
    *(undefined8 *)(param_1 + 0x54) = *(undefined8 *)(lVar15 + 0x20);
    *(undefined8 *)(param_1 + 0x56) = uVar18;
    uVar18 = *(undefined8 *)(lVar15 + 0x38);
    *(undefined8 *)(param_1 + 0x58) = *(undefined8 *)(lVar15 + 0x30);
    *(undefined8 *)(param_1 + 0x5a) = uVar18;
    *(undefined1 *)((longlong)param_1 + 0x261) = *(undefined1 *)(lVar15 + 0x13);
    uVar13 = (uint)*(byte *)(lVar15 + 0x10);
    *(byte *)(param_1 + 0x90) = *(byte *)(lVar15 + 0x10);
  }
  if ((char)param_1[0x90] == '\0') {
    fVar23 = (float)param_1[0x58] * (float)param_1[0x58];
    fVar25 = (float)param_1[0x59] * (float)param_1[0x59];
    fVar27 = (float)param_1[0x5a] * (float)param_1[0x5a];
    fVar24 = (float)param_1[0x54] * (float)param_1[0x54];
    fVar26 = (float)param_1[0x55] * (float)param_1[0x55];
    fVar28 = (float)param_1[0x56] * (float)param_1[0x56];
    auVar32._0_4_ = 0.0 - (fVar25 + fVar23 + fVar27);
    auVar32._4_4_ = 0.0 - (fVar25 + fVar23 + fVar27);
    auVar32._8_4_ = 0.0 - (fVar25 + fVar23 + fVar27);
    auVar32._12_4_ = 0.0 - (fVar25 + fVar23 + fVar27);
    auVar29._0_4_ = 0.0 - (fVar26 + fVar24 + fVar28);
    auVar29._4_4_ = 0.0 - (fVar26 + fVar24 + fVar28);
    auVar29._8_4_ = 0.0 - (fVar26 + fVar24 + fVar28);
    auVar29._12_4_ = 0.0 - (fVar26 + fVar24 + fVar28);
    auVar30._4_4_ = auVar29._4_4_ * fRam00007ff61a6eacb4;
    auVar30._0_4_ = auVar29._0_4_ * _DAT_7ff61a6eacb0;
    auVar30._8_4_ = auVar29._8_4_ * fRam00007ff61a6eacb8;
    auVar30._12_4_ = auVar29._12_4_ * fRam00007ff61a6eacbc;
    auVar30 = maxps(auVar29,auVar30);
    bVar2 = auVar30._0_4_ <= _DAT_7ff61a6eac60;
    bVar4 = auVar30._4_4_ <= fRam00007ff61a6eac64;
    bVar6 = auVar30._8_4_ <= fRam00007ff61a6eac68;
    bVar8 = auVar30._12_4_ <= fRam00007ff61a6eac6c;
    auVar10._4_4_ = auVar32._4_4_ * fRam00007ff61a6eacb4;
    auVar10._0_4_ = auVar32._0_4_ * _DAT_7ff61a6eacb0;
    auVar10._8_4_ = auVar32._8_4_ * fRam00007ff61a6eacb8;
    auVar10._12_4_ = auVar32._12_4_ * fRam00007ff61a6eacbc;
    auVar30 = maxps(auVar32,auVar10);
    bVar3 = auVar30._0_4_ <= _DAT_7ff61a6eac60;
    bVar5 = auVar30._4_4_ <= fRam00007ff61a6eac64;
    bVar7 = auVar30._8_4_ <= fRam00007ff61a6eac68;
    bVar9 = auVar30._12_4_ <= fRam00007ff61a6eac6c;
    *(undefined1 *)(param_1 + 0x98) = 0;
    auVar31._4_4_ = -(uint)((float)(-(uint)(bVar5 && bVar4) ^ 0xffffffff) == 0.0);
    auVar31._0_4_ = -(uint)((float)(-(uint)(bVar3 && bVar2) ^ 0xffffffff) == 0.0);
    auVar31._8_4_ = -(uint)((float)(-(uint)(bVar6 && bVar7) ^ 0xffffffff) == 0.0);
    auVar31._12_4_ = -(uint)((float)(-(uint)(bVar8 && bVar9) ^ 0xffffffff) == 0.0);
    iVar14 = movmskps(uVar13,auVar31);
    if (iVar14 != 0xf) {
      *(undefined1 *)(param_1 + 0x90) = 1;
    }
  }
  else {
    *(undefined1 *)(param_1 + 0x98) = 0;
  }
  return 1;
}


============================================================
FUNCTION FUN_7ff6184b1220@7ff6184b1220 size=86

undefined8 FUN_7ff6184b1220(longlong param_1,undefined4 *param_2)

{
  undefined2 uVar1;
  longlong lVar2;
  undefined4 auStack_18 [2];
  undefined8 uStack_10;
  
  auStack_18[0] = *param_2;
  uStack_10 = *(undefined8 *)(param_2 + 2);
  lVar2 = FUN_7ff618516340(auStack_18,*(undefined4 *)PTR_DAT_7ff61a016178);
  *(undefined4 *)(param_1 + 0x30) = *(undefined4 *)(lVar2 + 0x10);
  *(undefined4 *)(param_1 + 0x34) = *(undefined4 *)(lVar2 + 0x14);
  uVar1 = FUN_7ff6184cf5a0(*(undefined4 *)(param_1 + 0x24),0,3);
  *(undefined2 *)(param_1 + 0x8c) = uVar1;
  return 1;
}


============================================================
FUNCTION FUN_7ff61842a770@7ff61842a770 size=161

undefined8 FUN_7ff61842a770(longlong param_1,undefined4 *param_2)

{
  uint uVar1;
  int iVar2;
  longlong lVar3;
  int *piVar4;
  longlong lVar5;
  undefined4 local_18 [2];
  undefined8 local_10;
  
  local_18[0] = *param_2;
  local_10 = *(undefined8 *)(param_2 + 2);
  lVar3 = FUN_7ff618516340(local_18,*DAT_7ff61a016218);
  uVar1 = *(uint *)(lVar3 + 0x10);
  *(uint *)(param_1 + 0x30) = uVar1;
  if (uVar1 != 0xffffffff) {
    lVar5 = (((ulonglong)(uint)((int)uVar1 >> 0xd) | 0xffc0000) >> 0x12 &
            (ulonglong)((int)uVar1 >> 0xd & 0xffff)) * 0x40 + *DAT_7ff61a4a9c70;
    lVar3 = (ulonglong)((uVar1 & 0x1fff) * *(int *)(lVar5 + 0x30)) + *(longlong *)(lVar5 + 8);
    if (0 < *(longlong *)
             ((lVar3 - ((longlong)*(int *)(lVar5 + 0x34) & *(ulonglong *)(lVar3 + 8))) + 8)) {
      piVar4 = (int *)FUN_7ff61842a410();
      iVar2 = *piVar4;
      *piVar4 = iVar2 + 1;
      piVar4[(longlong)iVar2 + 1] = uVar1;
    }
  }
  return 1;
}


============================================================
FUNCTION FUN_7ff6185fadb0@7ff6185fadb0 size=368

undefined8 FUN_7ff6185fadb0(longlong param_1,undefined4 *param_2,undefined4 *param_3)

{
  undefined8 *puVar1;
  char cVar2;
  longlong lVar3;
  longlong lVar4;
  undefined4 *puVar5;
  undefined1 auStackX_8 [8];
  undefined8 uStackX_10;
  undefined4 auStack_28 [2];
  undefined8 uStack_20;
  undefined4 auStack_18 [2];
  undefined8 uStack_10;
  
  auStack_28[0] = *param_2;
  uStack_20 = *(undefined8 *)(param_2 + 2);
  lVar3 = FUN_7ff618516350(auStack_28,*(undefined4 *)PTR_DAT_7ff61a017058);
  uStack_10 = *(undefined8 *)(param_3 + 2);
  auStack_18[0] = *param_3;
  lVar4 = FUN_7ff618516340(auStack_18,*(undefined4 *)PTR_DAT_7ff61a011020);
  puVar1 = (undefined8 *)(param_1 + 0x114);
  if (((ulonglong)puVar1 & 3) == 0) {
    *puVar1 = 0;
  }
  else {
    *puVar1 = 0;
  }
  *(undefined1 *)(param_1 + 0x1c4) = DAT_7ff619cb4324;
  *(undefined1 *)(param_1 + 0x1c5) = 0xff;
  if (lVar3 != 0) {
    *(undefined1 *)(param_1 + 0x240) = *(undefined1 *)(lVar3 + 0x10);
    *(undefined1 *)(param_1 + 0x241) = *(undefined1 *)(lVar3 + 0x11);
    *(undefined1 *)(param_1 + 0x242) = *(undefined1 *)(lVar3 + 0x12);
    *(undefined1 *)(param_1 + 0x244) = *(undefined1 *)(lVar3 + 0x13);
    *(undefined1 *)(param_1 + 0x245) = *(undefined1 *)(lVar3 + 0x14);
    *(undefined1 *)(param_1 + 0x243) = *(undefined1 *)(lVar3 + 0x15);
    *(undefined1 *)(param_1 + 0x1c4) = *(undefined1 *)(lVar3 + 0x16);
  }
  lVar3 = FUN_7ff61851e000(lVar4);
  if ((*(char *)(lVar3 + 0x96) == '\x11') && ((*(byte *)(lVar4 + 0x68) & 4) == 0)) {
    *(undefined1 *)(param_1 + 0x242) = 1;
  }
  *(undefined4 *)(param_1 + 0x1c0) = 0xffffffff;
  if ((*(byte *)(lVar4 + 0x68) & 8) == 0) {
    *(byte *)(param_1 + 0x246) = *(byte *)(param_1 + 0x246) & 0xfe;
  }
  else {
    *(byte *)(param_1 + 0x246) = *(byte *)(param_1 + 0x246) | 1;
  }
  *(byte *)(param_1 + 0x246) = *(byte *)(param_1 + 0x246) | 8;
  cVar2 = FUN_7ff61846d750(lVar4);
  if (cVar2 == '\0') {
    *(byte *)(param_1 + 0x246) = *(byte *)(param_1 + 0x246) & 0x7f;
  }
  else {
    *(byte *)(param_1 + 0x246) = *(byte *)(param_1 + 0x246) | 0x80;
  }
  puVar5 = (undefined4 *)FUN_7ff61851dfa0(lVar4,auStackX_8);
